Survey ID,Title,Send Date,Date Authored,User,Completed,Completed On,Comments,Elección delegad@
sur:8f132d8a-3ab9-45ff-a9c7-1b8b99027436,Elección delegad@,2020-09-21T09:02:44.210Z,2020-09-21T09:02:44.210Z,anonymous,true,2020-09-21T09:04:01.810Z,,Joan Ballester
sur:8f132d8a-3ab9-45ff-a9c7-1b8b99027436,Elección delegad@,2020-09-21T09:02:44.210Z,2020-09-21T09:02:44.210Z,anonymous,true,2020-09-21T09:03:25.404Z,,"Joan Ballester, María Cavero, Albert Ramos, Elena Bonache, Nicolás Peñuelas, Lisha Yam, Alex Llorens"
sur:8f132d8a-3ab9-45ff-a9c7-1b8b99027436,Elección delegad@,2020-09-21T09:02:44.210Z,2020-09-21T09:02:44.210Z,anonymous,true,2020-09-21T09:03:27.270Z,,"Elena Bonache, Nicolás Peñuelas"
sur:8f132d8a-3ab9-45ff-a9c7-1b8b99027436,Elección delegad@,2020-09-21T09:02:44.210Z,2020-09-21T09:02:44.210Z,anonymous,true,2020-09-21T09:04:03.106Z,,"Joan Ballester, Elena Bonache"
sur:8f132d8a-3ab9-45ff-a9c7-1b8b99027436,Elección delegad@,2020-09-21T09:02:44.210Z,2020-09-21T09:02:44.210Z,anonymous,true,2020-09-21T09:03:58.245Z,,Elena Bonache
sur:8f132d8a-3ab9-45ff-a9c7-1b8b99027436,Elección delegad@,2020-09-21T09:02:44.210Z,2020-09-21T09:02:44.210Z,anonymous,true,2020-09-21T09:03:32.099Z,,"Joan Ballester, María Cavero, Elena Bonache"
sur:8f132d8a-3ab9-45ff-a9c7-1b8b99027436,Elección delegad@,2020-09-21T09:02:44.210Z,2020-09-21T09:02:44.210Z,anonymous,true,2020-09-21T09:03:59.233Z,,Nicolás Peñuelas
sur:8f132d8a-3ab9-45ff-a9c7-1b8b99027436,Elección delegad@,2020-09-21T09:02:44.210Z,2020-09-21T09:02:44.210Z,anonymous,true,2020-09-21T09:04:42.833Z,,Alex Llorens
sur:8f132d8a-3ab9-45ff-a9c7-1b8b99027436,Elección delegad@,2020-09-21T09:02:44.210Z,2020-09-21T09:02:44.210Z,anonymous,true,2020-09-21T09:03:35.585Z,,Alex Llorens
sur:8f132d8a-3ab9-45ff-a9c7-1b8b99027436,Elección delegad@,2020-09-21T09:02:44.210Z,2020-09-21T09:02:44.210Z,anonymous,true,2020-09-21T09:05:12.101Z,,Nicolás Peñuelas
sur:8f132d8a-3ab9-45ff-a9c7-1b8b99027436,Elección delegad@,2020-09-21T09:02:44.210Z,2020-09-21T09:02:44.210Z,anonymous,true,2020-09-21T09:04:00.135Z,,"María Cavero, Lisha Yam"
sur:8f132d8a-3ab9-45ff-a9c7-1b8b99027436,Elección delegad@,2020-09-21T09:02:44.210Z,2020-09-21T09:02:44.210Z,anonymous,true,2020-09-21T09:04:04.674Z,,"Albert Ramos, Elena Bonache"
sur:8f132d8a-3ab9-45ff-a9c7-1b8b99027436,Elección delegad@,2020-09-21T09:02:44.210Z,2020-09-21T09:02:44.210Z,anonymous,true,2020-09-21T09:04:10.571Z,,Alex Llorens
sur:8f132d8a-3ab9-45ff-a9c7-1b8b99027436,Elección delegad@,2020-09-21T09:02:44.210Z,2020-09-21T09:02:44.210Z,anonymous,true,2020-09-21T09:04:30.094Z,,"Joan Ballester, María Cavero, Albert Ramos, Elena Bonache, Nicolás Peñuelas, Lisha Yam, Alex Llorens"
sur:8f132d8a-3ab9-45ff-a9c7-1b8b99027436,Elección delegad@,2020-09-21T09:02:44.210Z,2020-09-21T09:02:44.210Z,anonymous,true,2020-09-21T09:04:35.569Z,,"Joan Ballester, María Cavero, Albert Ramos, Elena Bonache, Nicolás Peñuelas, Lisha Yam, Alex Llorens"
sur:8f132d8a-3ab9-45ff-a9c7-1b8b99027436,Elección delegad@,2020-09-21T09:02:44.210Z,2020-09-21T09:02:44.210Z,anonymous,true,2020-09-21T09:04:52.142Z,,"Nicolás Peñuelas, Lisha Yam"
sur:8f132d8a-3ab9-45ff-a9c7-1b8b99027436,Elección delegad@,2020-09-21T09:02:44.210Z,2020-09-21T09:02:44.210Z,anonymous,true,2020-09-21T09:05:17.584Z,,Albert Ramos
sur:8f132d8a-3ab9-45ff-a9c7-1b8b99027436,Elección delegad@,2020-09-21T09:02:44.210Z,2020-09-21T09:02:44.210Z,anonymous,true,2020-09-21T09:05:36.150Z,,Albert Ramos
sur:8f132d8a-3ab9-45ff-a9c7-1b8b99027436,Elección delegad@,2020-09-21T09:02:44.210Z,2020-09-21T09:02:44.210Z,anonymous,true,2020-09-21T09:05:06.707Z,,"Joan Ballester, Elena Bonache, Lisha Yam"
sur:8f132d8a-3ab9-45ff-a9c7-1b8b99027436,Elección delegad@,2020-09-21T09:02:44.210Z,2020-09-21T09:02:44.210Z,anonymous,true,2020-09-21T09:05:08.932Z,,"Joan Ballester, Elena Bonache, Lisha Yam, Alex Llorens"
sur:8f132d8a-3ab9-45ff-a9c7-1b8b99027436,Elección delegad@,2020-09-21T09:02:44.210Z,2020-09-21T09:02:44.210Z,anonymous,true,2020-09-21T09:05:20.882Z,,Joan Ballester
sur:8f132d8a-3ab9-45ff-a9c7-1b8b99027436,Elección delegad@,2020-09-21T09:02:44.210Z,2020-09-21T09:02:44.210Z,anonymous,true,2020-09-21T09:05:56.600Z,,Alex Llorens
sur:8f132d8a-3ab9-45ff-a9c7-1b8b99027436,Elección delegad@,2020-09-21T09:02:44.210Z,2020-09-21T09:02:44.210Z,anonymous,true,2020-09-21T09:05:39.967Z,,Joan Ballester
sur:8f132d8a-3ab9-45ff-a9c7-1b8b99027436,Elección delegad@,2020-09-21T09:02:44.210Z,2020-09-21T09:02:44.210Z,anonymous,true,2020-09-21T09:05:44.861Z,,Joan Ballester
